时间戳,日期时间,锻炼项目,个数,组数,持续时间
1581860087.043075,2020-02-16 21:34:47,深蹲,10,2,2
1581862374.787617,2020-02-16 22:12:54,斜上俯卧撑,20,3,8.1
1581863245.217851,2020-02-16 22:27:25,坐姿屈膝,30,3,11.6
1581864024.054805,2020-02-16 22:40:24,平卧抬膝,20,2,3
1581864339.6514492,2020-02-16 22:45:39,标准深蹲,10,2,3.1
1581944986.063314,2020-02-17 21:09:46,标准深蹲,20,3,7.9
1581949589.6545768,2020-02-17 22:26:29,斜上俯卧撑,20,3,7.9
1581950154.881213,2020-02-17 22:35:54,平卧抬膝,20,2,5.3
1581951188.5821388,2020-02-17 22:53:08,短桥,30,4,15.1
1581951785.452329,2020-02-17 23:03:05,标准深蹲,20,2,5.3
1581991174.5957189,2020-02-18 09:59:34,标准俯卧撑,12,2,3.5
1582033026.521358,2020-02-18 21:37:06,标准深蹲,20,4,10.6
1582036474.040479,2020-02-18 22:34:34,直桥,10,2,3.1
1582036994.3940248,2020-02-18 22:43:14,平卧抬膝,20,2,5.4
1582037536.5812328,2020-02-18 22:52:16,膝盖俯卧撑,12,2,3.5
1582078032.143179,2020-02-19 10:07:12,标准俯卧撑,10,2,3.0
1582078745.380716,2020-02-19 10:19:05,标准深蹲,25,2,6.2
1582079856.815027,2020-02-19 10:37:36,平卧抬膝,20,2,5.2
1582119435.837198,2020-02-19 21:37:15,直桥,10,2,3.0
1582119959.35393,2020-02-19 21:45:59,短桥,20,3,7.9
1582120478.318971,2020-02-19 21:54:38,标准深蹲,25,2,6.3
